date,type,ticker,rating_osc,rating_ma
2019-10-03,index,SPX,Buy,Srong Sell
2019-10-03,stock,GOOG,Buy,Srong Sell
2019-10-03,stock,FB,Buy,Srong Sell
2019-10-03,stock,JNJ,Buy,Buy
2019-10-03,stock,AMZN,Buy,Srong Sell
2019-10-03,stock,BABA,Buy,Srong Sell
2019-10-03,stock,MSFT,Neutral,Srong Sell
2019-10-03,stock,AAPL,Neutral,Buy
2019-10-03,stock,JPM,Neutral,Sell
2019-10-03,crypto,BNBUSD,Sell,Srong Sell
2019-10-03,crypto,XRPUSD,Sell,Srong Sell
2019-10-03,crypto,DASHUSD,Sell,Srong Sell
2019-10-03,crypto,ETHUSD,Sell,Srong Sell
2019-10-03,crypto,LTCUSD,Sell,Srong Sell
2019-10-03,crypto,IOTAUSD,Buy,Buy
2019-10-03,crypto,BTCUSD,Buy,Srong Sell
2019-10-03,crypto,EOSUSD,Sell,Srong Sell
2019-10-04,stock,JNJ,Buy,Buy
2019-10-04,stock,GOOG,Neutral,Sell
2019-10-04,stock,JPM,Buy,Srong Sell
2019-10-04,stock,MSFT,Sell,Sell
2019-10-04,stock,BABA,Sell,Srong Sell
2019-10-04,stock,FB,Sell,Srong Sell
2019-10-04,stock,AAPL,Sell,Srong Buy
2019-10-04,stock,AMZN,Sell,Srong Sell
2019-10-04,crypto,ETHUSD,Sell,Srong Sell
2019-10-04,crypto,EOSUSD,Sell,Srong Sell
2019-10-04,crypto,DASHUSD,Sell,Srong Sell
2019-10-04,crypto,XRPUSD,Sell,Srong Sell
2019-10-04,crypto,BTCUSD,Sell,Srong Sell
2019-10-04,crypto,BNBUSD,Sell,Srong Sell
2019-10-04,crypto,LTCUSD,Sell,Srong Sell
2019-10-04,crypto,IOTAUSD,Buy,Neutral
2019-10-04,index,NIFTY,Buy,Buy
2019-10-04,index,DJI,Sell,Srong Sell
2019-10-04,index,SPX,Sell,Sell
2019-10-04,index,DAX,Neutral,Srong Sell
2019-10-04,index,NI225,Sell,Sell
2019-10-04,index,VIX,Buy,Srong Buy
2019-10-04,index,TSX,Buy,Srong Sell
2019-10-04,index,IXIC,Sell,Sell
2019-10-05,crypto,LTCUSD,Sell,Srong Sell
2019-10-05,crypto,IOTAUSD,Sell,Neutral
2019-10-05,crypto,BNBUSD,Buy,Srong Sell
2019-10-05,crypto,XRPUSD,Sell,Srong Sell
2019-10-05,crypto,DASHUSD,Sell,Srong Sell
2019-10-05,crypto,BTCUSD,Sell,Srong Sell
2019-10-05,crypto,ETHUSD,Sell,Srong Sell
2019-10-05,crypto,EOSUSD,Sell,Srong Sell
2019-10-06,crypto,BTCUSD,Sell,Srong Sell
2019-10-06,crypto,EOSUSD,Neutral,Srong Sell
2019-10-06,crypto,IOTAUSD,Neutral,Buy
2019-10-06,crypto,XRPUSD,Sell,Srong Sell
2019-10-06,crypto,ETHUSD,Neutral,Srong Sell
2019-10-06,crypto,BNBUSD,Buy,Srong Sell
2019-10-06,crypto,DASHUSD,Buy,Srong Sell
2019-10-06,crypto,LTCUSD,Neutral,Srong Sell
2019-10-07,crypto,BNBUSD,Buy,Srong Sell
2019-10-07,crypto,LTCUSD,Sell,Srong Sell
2019-10-07,crypto,BTCUSD,Sell,Srong Sell
2019-10-07,crypto,IOTAUSD,Sell,Srong Sell
2019-10-07,crypto,DASHUSD,Sell,Srong Sell
2019-10-07,crypto,EOSUSD,Sell,Srong Sell
2019-10-07,crypto,ETHUSD,Sell,Srong Sell
2019-10-07,crypto,XRPUSD,Sell,Srong Sell
2019-10-07,stock,GOOG,Sell,Buy
2019-10-07,stock,MSFT,Sell,Srong Buy
2019-10-07,stock,JNJ,Buy,Srong Buy
2019-10-07,stock,AMZN,Sell,Srong Sell
2019-10-07,stock,BABA,Sell,Sell
2019-10-07,stock,JPM,Neutral,Buy
2019-10-07,stock,FB,Sell,Sell
2019-10-07,stock,AAPL,Sell,Srong Buy
2019-10-07,index,NIFTY,Buy,Srong Sell
2019-10-07,index,DJI,Sell,Sell
2019-10-07,index,NI225,Buy,Buy
2019-10-07,index,VIX,Buy,Buy
2019-10-07,index,IXIC,Sell,Buy
2019-10-07,index,TSX,Sell,Sell
2019-10-07,index,DAX,Sell,Srong Sell
2019-10-07,index,SPX,Sell,Buy
2019-10-08,index,VIX,Buy,Srong Buy
2019-10-08,index,IXIC,Neutral,Sell
2019-10-08,index,DAX,Neutral,Sell
2019-10-08,index,NIFTY,Neutral,Srong Sell
2019-10-08,index,NI225,Neutral,Sell
2019-10-08,index,SPX,Sell,Sell
2019-10-08,index,TSX,Sell,Sell
2019-10-08,index,DJI,Sell,Sell
2019-10-08,stock,GOOG,Neutral,Neutral
2019-10-08,stock,AAPL,Buy,Srong Buy
2019-10-08,stock,MSFT,Neutral,Sell
