entry_date,symbol,symbol_name,signal_perc,url
2019-05-28,INXN,Interxion Holding N.V.,100,https://www.barchart.com/story/news/chart-of-the-day/2401230/barchartcoms-chart-of-the-day-interxion-holdings
2019-05-24,ROKU,Roku Inc,96,https://www.barchart.com/story/news/chart-of-the-day/2358795/barchartcoms-chart-of-the-day-roku-inc
2019-05-23,CUBE,Cubesmart,96,https://www.barchart.com/story/news/chart-of-the-day/2323567/barchartcoms-chart-of-the-day-cubesmart
2019-05-22,PAYC,Paycom Software Inc,96,https://www.barchart.com/story/news/chart-of-the-day/2301706/barchartcoms-chart-of-the-day-paycom-software
2019-05-21,BAND,Bandwidth Inc,96,https://www.barchart.com/story/news/chart-of-the-day/2302453/barchartcoms-chart-of-the-day-bandwidth
2019-05-20,MAA,Mid-America Apartment Communities,96,https://www.barchart.com/story/news/chart-of-the-day/2269054/barchartcoms-chart-of-the-day-mid-america-apartment-communities
2019-05-15,WIX,Wix.com Ltd,96,https://www.barchart.com/story/news/chart-of-the-day/2190810/barchartcoms-chart-of-the-day-wixcom
2019-05-15,CCEP,Coca Cola European Partners,96,https://www.barchart.com/story/news/chart-of-the-day/2183876/barchartcoms-chart-of-the-day-coca-cola-european-partners
2019-05-13,FBM,Foundation Building Materials Inc,96,https://www.barchart.com/story/news/chart-of-the-day/2148323/barchartcoms-chart-of-the-day-foundation-building-materials
2019-05-12,JYNT,The Joint Corp,100,https://www.barchart.com/story/news/chart-of-the-day/2132667/barchartcoms-chart-of-the-day-the-joint-corp
2019-05-10,GSB,Globalscape,88,https://www.barchart.com/story/news/chart-of-the-day/2108676/barchartcoms-chart-of-the-day-globalscape
2019-05-09,COKE,Coca Cola Bot Cons,100,https://www.barchart.com/story/news/chart-of-the-day/2090546/barchartcoms-chart-of-the-day-coca-cola-bottling
2019-05-08,TSN,Tyson Foods,96,https://www.barchart.com/story/news/chart-of-the-day/2054836/barchartcoms-chart-of-the-day-tyson-foods
2019-05-07,AIG,American International Group,100,https://www.barchart.com/story/news/chart-of-the-day/2029862/barchartcoms-chart-of-the-day-american-international-group
2019-05-06,CODA,Coda Octopus Group,100,https://www.barchart.com/story/news/chart-of-the-day/2013255/barchartcoms-chart-of-the-day-coda-octopus-group
2019-05-03,TTD,Trade Desk Inc,100,https://www.barchart.com/story/news/chart-of-the-day/1980808/barchartcoms-chart-of-the-day-trade-desk
2019-05-02,ENPH,Enphase Energy Inc,100,https://www.barchart.com/story/news/chart-of-the-day/1954910/barchartcoms-chart-of-the-day-enphase-energy
2019-05-01,LBRDK,Liberty Broadbd C,100,https://www.barchart.com/story/news/chart-of-the-day/1922665/barchartcoms-chart-of-the-day-liberty-broadband
2019-04-30,AYX,Alteryx Inc,100,https://www.barchart.com/story/news/chart-of-the-day/1901218/barchartcoms-chart-of-the-day-alteryx
2019-04-29,AXSM,Axsome Thera,100,https://www.barchart.com/story/news/chart-of-the-day/1882967/barchartcoms-chart-of-the-day-axsome-therapeutics
2019-04-25,MSFT,Microsoft Corp,100,https://www.barchart.com/story/news/chart-of-the-day/1821849/barchartcoms-chart-of-the-day-microsoft
2019-04-25,CMCSA,Comcast Corp A,96,https://www.barchart.com/story/news/chart-of-the-day/1820299/barchartcoms-chart-of-the-day-comcast
